id,label1,label2,label3,detail,text
1356548563849924610,0,0,0,NON,"nesiniz siz yasizene ne yazdıysa yazmış size mi kaldı onu eleştirmek
13 yaşındayken yazdığı şeyden size mi hesap vericekadam olay çıkartmak için yer arıyosunuz cidden han jisung neatness  jisung is neatness boy neatness jisunghan jisung best rapper han jisung talented han jisung"
1375031458432188419,0,0,0,NON,@bahamaldal prive bile almıs bağırdım aq
1351227579215327236,0,0,0,NON,"bay kemal;
💥asıl muhafazakar chp'dir.
💥başörtüsü sorununu ben çözdüm.
💥necip fazıl, chp'liydi..

ne içtin yine kemal kafa bir milyon."
1373220929426370561,0,0,0,NON,neden hırkada bu kadar çok düğme var barış'a zorluk çıkarmasanıza aq https://t.co/y3v9kaw82x
1372452154187845632,0,0,0,NON,@sevbscc headerini düzelt aq nek sinir olur görse 😍
1373807982186786819,0,0,0,NON,bu konuşanlara gülen tipler hep hayatta zorlama tepki veren fikirsiz kişiler ne konuşuyosunuz ne bu kadar komik aq
1356306978839080961,0,0,0,NON,@sevdaozturk0414 ha dolar ha chp al birini vur ötekine. cehennemin dibine kadar yolları var. eteşleri bol olsun
1372467108022476802,0,0,0,NON,@sikiskenyuta jeno dgsini kutlarken ben okulda siir souluyodum aq.
1373384448981487623,0,0,0,NON,birleşme partisine gelen jason deruloymuş dua diyince bir an çıtayı yükseltmiştim ne bu şimdi aq
1374625666881183750,0,0,0,NON,@koronareport @tcbuyuksehir sonra bu aq virüsü neden artıyor
1340922644821127170,0,0,0,NON,sikerim böyle hayatı diyip ertesi gün tekrar aynı hayatı yaşamak.
1350460078277713920,0,0,0,NON,@melagliyor hiç ilişkim olmadı ki aq dbdhsjsk ama evet seninle ömürlük olcak
1352700936184098822,0,0,0,NON,@cakirim01 çakır imreniyorum sana hepsini yapıp bide diagneyle jakuziye giriyorsun bal gibi hayat amk
1350900753653772293,0,0,0,NON,"islam burada gördüğünüzdür evet,, recm cezası kuranda yer almaz ama dinde yeri vardır bizzat peygamberiniz recm cezası uygulanmıştır bu film de sizin iki yüzlülüğünüzdür"
1357460403010363393,0,0,0,NON,@hocagudubettin @cezmiyilmax @traytasci @temmuz1919 askere mermi atanların safından yazarken biraz komik olmuyor mu. sizin derdiniz askere çuval geçirilmesi üzerinden devlete vurmak aciz göstermek. aynı mahmut gibi polise küfür edip sonra da polisin özlük hakları vs ben yemem kardeş.
1354725470374424579,0,0,0,NON,@bptmedya bu çağ dışı ve bilim dışı cahilliğin çocukları istismar edecek dereceye gelmesi gerçekten korkutucu ve üzücü.
1351344393547083778,0,0,0,NON,amk delileri video çekmiş sen git passata o kadar para ver tofaş gelsin kayış gibi dursun yazıyor aminakodumun deli̇leri̇ togaşçıların akıl sağlığı yoktur
1356360282306715649,0,0,0,NON,her seyin cok daha farkli olmasini dilerdim böyle bok gibi oldu
1356712781085564931,0,0,0,NON,"yada burda olduğun gibi engelmi koyacaksın, engel koymazsan çokta fi̇fi̇.
yi̇ne di̇yorum 
ki̇ni̇ni̇zde bogulun kefereler. https://t.co/69fjoay3jz"
1355994611165097998,0,0,0,NON,"@marsl87271832 @bbcturkce 10 yıldır girdiği tüm seçimleri kaybetmesine rağmen tek aday girdiği parti başkanlık seçimini kazanınca ""beni seçtiğiniz için teşekkürler"" diyen, aşağılık bir diktatör var. ahlaki değerler diyince aklıma geldi."
1352882525111279616,0,0,0,NON,"bu masum çocuklar söylenmesi gereken her şeyi söylemiş zaten
#alayınızamesutoezil
#burakyilmaz utanır mısın sanmam https://t.co/cw1kfzgjpn"
1352467151207149568,0,0,0,NON,@buocguldurdu bu kadar küfür yiyorsun utaniyormusun utaniyorsan kaldır
1350410713332854786,0,0,0,NON,tm bizde anitwt sevmioruz amk ama sürekli söylüyo muyuz
1357075122235015168,0,0,0,NON,sizin gibi ruhu bozuklarla uğraşacak vaktim yok amınıza koyayım.
1374078112288407553,0,0,0,NON,cidden bu dünyaya kahır çekmeye gelmişiz aq
1355493213730181121,0,0,0,NON,@keremakyil73 adam gibi twite cevap verecegine polemiğe girip arkandan konusturuyorsun bide baksan gazeteci kilifindasin
1372691381043535872,0,0,0,NON,@biisusmerve beni de aq
1350002782972092417,0,0,0,NON,@arzuuusnck bu malların atlamama ihtimali var mı sence
1350272221114232836,0,0,0,NON,"@dunya20101 bu azîz milletin gelecekine göz diken gözü dönmüşler ve sırtını mafyalara dayamış olanlar, sırtını ypg ve pyd ye dayamış olanlardan ne farkınız vardır söyler misiniz! selçuk özdağ da millet olarak biz de kirli gündemlerinizden de çakıcılarınızdan da çakılarınızdan da #korkmuyoruz"
1353053340435931136,0,0,0,NON,bakın poyrazdan deli gbi korktuklari surdan belli; poyraz avantajda kaybetti halkayı cok da iyi atmadı halbuki onu alabilirlerdi atısı kötü diye ama poyrazın harikalar yarattığını her zaman kazanabilceğini o kadar iyi biliyolar ki dısarda bıraktılar korkaklar #survivor2021
